파일명,클러스터,구간-시작(초),구간-종료(초),최소 주파수(Hz),최대 주파수(Hz),최빈값(Hz),최대 진폭(dB SPL)
1343.wav,0,0.00,1.00,62.25,62.25,62.25,70.47
1344.wav,0,0.00,0.93,62.25,62.25,62.25,69.77
1345.wav,1,0.00,1.00,77.03,77.03,77.03,80.45
1346.wav,0,0.00,1.00,62.25,62.25,62.25,74.08
1347.wav,0,0.00,1.00,62.25,62.25,62.25,65.85
1348.wav,0,0.00,1.00,62.25,62.25,62.25,73.44
1349.wav,0,0.00,1.00,62.25,62.25,62.25,69.98
1350.wav,0,0.00,1.00,62.25,62.25,62.25,73.14
1351.wav,0,0.00,1.00,62.25,62.25,62.25,70.49
1352.wav,1,0.00,1.00,77.03,77.03,77.03,76.98
1353.wav,0,0.00,1.00,62.25,62.25,62.25,74.10
1354.wav,0,0.00,1.00,62.25,62.25,62.25,69.04
1355.wav,0,0.00,1.00,62.25,62.25,62.25,71.12
1356.wav,0,0.00,0.98,62.25,62.25,62.25,71.52
1357.wav,0,0.00,1.00,62.25,62.25,62.25,68.92
1358.wav,0,0.00,1.00,62.25,62.25,62.25,68.57
1359.wav,0,0.00,1.00,62.25,62.25,62.25,68.28
1360.wav,0,0.00,1.00,62.25,62.25,62.25,68.74
1361.wav,0,0.02,1.00,47.48,47.48,47.48,56.46
1362.wav,0,0.00,1.00,62.25,62.25,62.25,69.62
1363.wav,1,0.00,1.00,62.25,62.25,62.25,86.15
1364.wav,1,0.00,1.00,62.25,62.25,62.25,79.06
1365.wav,0,0.00,1.00,32.70,32.70,32.70,66.20
1366.wav,0,0.00,0.88,47.48,47.48,47.48,73.50
1367.wav,4,0.00,1.00,91.80,91.80,91.80,112.36
1368.wav,0,0.00,0.49,47.48,47.48,47.48,95.70
1369.wav,1,0.00,1.00,62.25,62.25,62.25,95.47
1370.wav,1,0.00,1.00,62.25,62.25,62.25,92.81
1371.wav,0,0.00,0.70,32.70,32.70,32.70,56.73
1372.wav,1,0.00,1.00,47.48,47.48,47.48,82.97
1373.wav,0,0.00,1.00,32.70,32.70,32.70,68.69
1374.wav,0,0.00,0.53,32.70,32.70,32.70,63.57
1375.wav,1,0.00,0.95,47.48,47.48,47.48,89.18
1376.wav,2,0.00,1.00,77.03,77.03,77.03,92.88
1377.wav,0,0.00,1.00,47.48,47.48,47.48,78.93
1378.wav,0,0.00,1.00,47.48,47.48,47.48,73.25
1379.wav,0,0.00,0.88,47.48,47.48,47.48,79.43
1380.wav,1,0.00,1.00,62.25,62.25,62.25,80.12
1381.wav,0,0.00,0.70,47.48,47.48,47.48,73.22
1382.wav,0,0.00,1.00,47.48,47.48,47.48,57.57
1383.wav,2,0.00,1.00,62.25,62.25,62.25,97.69
1384.wav,1,0.00,1.00,62.25,62.25,62.25,98.18
1385.wav,0,0.02,1.00,47.48,47.48,47.48,71.68
1386.wav,0,0.00,1.00,47.48,47.48,47.48,65.34
1387.wav,0,0.00,1.00,47.48,47.48,47.48,73.19
1388.wav,0,0.00,1.00,47.48,47.48,47.48,63.07
1389.wav,0,0.00,1.00,47.48,47.48,47.48,65.16
1390.wav,0,0.00,0.86,47.48,47.48,47.48,65.87
1391.wav,1,0.00,1.00,62.25,62.25,62.25,80.72
1392.wav,1,0.02,1.00,62.25,62.25,62.25,78.96
1393.wav,0,0.00,0.79,47.48,47.48,47.48,72.43
1394.wav,1,0.00,1.00,62.25,62.25,62.25,85.38
1395.wav,0,0.00,1.00,62.25,62.25,62.25,72.31
1396.wav,1,0.00,0.95,62.25,62.25,62.25,94.59
1397.wav,1,0.00,1.00,62.25,62.25,62.25,91.23
1398.wav,0,0.00,1.00,47.48,47.48,47.48,72.94
1399.wav,0,0.00,1.00,47.48,47.48,47.48,72.92
1400.wav,2,0.00,1.00,77.03,77.03,77.03,102.77
1401.wav,0,0.00,0.56,47.48,47.48,47.48,71.12
1402.wav,3,0.00,1.00,91.80,91.80,91.80,104.19
1403.wav,1,0.00,1.00,62.25,62.25,62.25,82.54
1404.wav,1,0.02,1.00,62.25,62.25,62.25,83.80
1405.wav,1,0.00,1.00,62.25,62.25,62.25,94.06
1406.wav,1,0.00,1.00,62.25,62.25,62.25,102.15
1407.wav,0,0.00,0.70,47.48,47.48,47.48,63.64
1408.wav,1,0.02,0.98,62.25,62.25,62.25,74.76
1409.wav,0,0.00,0.95,47.48,47.48,47.48,67.44
1410.wav,1,0.00,0.95,62.25,62.25,62.25,85.00
1411.wav,1,0.00,1.00,62.25,62.25,62.25,87.06
1412.wav,1,0.00,1.00,62.25,62.25,62.25,88.03
1413.wav,0,0.00,0.30,47.48,47.48,47.48,68.66
1414.wav,0,0.00,1.00,47.48,47.48,47.48,65.23
1415.wav,0,0.00,1.00,47.48,47.48,47.48,73.65
1416.wav,0,0.00,0.95,47.48,47.48,47.48,75.54
1417.wav,1,0.00,1.00,62.25,62.25,62.25,82.60
1418.wav,1,0.00,1.00,62.25,62.25,62.25,91.21
1419.wav,2,0.00,1.00,77.03,77.03,77.03,99.91
1420.wav,0,0.00,1.00,47.48,47.48,47.48,75.02
1421.wav,2,0.02,1.00,62.25,62.25,62.25,111.61
